Id,Tittle,Genre,Release Year,Production company,Country,Views,Credits
a234,The streak,"sci-fi,fventureamily,adventure",2015,Fivestar,USA,20 M,20%
j432,The Hero,"drama, comedy",2010,Pixel,Japan,10M,50%
c642,Family ties,"family,drama",2024,Sony,China,3.4M,50%
f311,Dancing Booth,"sci-fi,drama, comedy",2011,Fox,France,124K,23%
a576,Saraphina,"Crime, Adventure",2023,Box Office,South Africa,3K,45%
c870,Long Zhii and the mysterious sword,"drama, comedy",2019,Pixel,China,196K,64%
a807,SeaBoorn,"thriller, comedy",2009,Disney,USA,8.1M,23%
t8700,Over and Around,"action,adventure",2020,Netflix,Turkey,100K,35%
i7880,Rajab,"drama,family,action",2013,Sony,India,2M,7%
a876,Adventerous,"sci-fi,fantasy,Adventure",2024,Netflix,Algeria,1.3M,22%
i965,Tripple Stages,"action,crime,fantasy",2021,Sony,Indonesia,100K,25%
a755,Inside Out,"Adventure,action,Fantasy",2011,Netflix,USA,3M,53%
a467,Above,"thriller, comedy",2017,Premio,Angola,200K,43%
a354,Deep Secrets of the Palace,"Action,Crime",2004,Netflix,Australia,3K,64%
se557,Emptiness of the Dark,"Crime, Adventure",2017,Africa Production,South Africa,199M,22%
n375,Chineku and the stranger,"Fantasy,Thriller",2003,Sony,Nigeria,500K,65%
k6345,Acient Lands,"triller,sci-fi",2017,Netflix,Korea,199K,75%
j6897,Si ku hiro,"drama,family,action",2024,Netflix,Japan,900K,36%
